galaxy_id,R_kpc,V_obs,g_obs,V_bar,g_bar
CamB,0.16,1.99,8.021131291357689e-13,4.185940754478018,3.5490786747884785e-12
CamB,0.41,4.84,1.8516390081682213e-12,10.375861410022784,8.509693589956222e-12
CamB,0.57,6.79,2.621284429162539e-12,13.029570215475259,9.652388207417462e-12
CamB,0.73,8.87,3.492800933127231e-12,15.299388876683931,1.0391416731700207e-11
CamB,0.9,10.9,4.278188749335542e-12,16.715648357153245,1.0061283774086496e-11
CamB,1.06,12.9,5.087717751342597e-12,17.420998823259247,9.278754675898486e-12
CamB,1.22,14.7,5.740163907930734e-12,17.405795012006777,8.047803303370534e-12
CamB,1.47,16.8,6.222296236724028e-12,17.835257217096704,7.012790648509997e-12
CamB,1.79,20.1,7.314565591826333e-12,16.433386747715762,4.889343799359844e-12
D512-2,0.96,22.9,1.7703094452584893e-11,15.400288958328021,8.006375618153088e-12
D512-2,1.92,33.5,1.894252374040674e-11,22.099266956168478,8.243354227919685e-12
D512-2,2.88,37.2,1.5571944488259873e-11,21.86815264259878,5.3812251146029396e-12
D512-2,3.83,35.9,1.0905349234187736e-11,21.64842950423887,3.965550385761778e-12
D564-8,0.51,8.54,4.6344160561505524e-12,7.245032781154272,3.3354926533268238e-12
D564-8,1.02,15.1,7.244412606900763e-12,10.168800322555262,3.285403549889347e-12
D564-8,1.53,19.8,8.304020345333904e-12,11.082585438425458,2.6015980606294965e-12
D564-8,2.04,21.9,7.619167427734913e-12,11.118547567016117,1.9638820659873404e-12
D564-8,2.56,24.0,7.291753402410969e-12,10.791264986089443,1.4741925211206958e-12
D564-8,3.07,25.0,6.597677707574168e-12,10.39635032114636,1.1409664913811475e-12
D631-7,0.45,8.41,5.093648037738897e-12,13.052206709978202,1.22688774203464e-11
D631-7,0.9,17.8,1.140898344701181e-11,20.57645499108143,1.5245724044066573e-11
D631-7,1.35,26.0,1.622790222232038e-11,26.643340631384795,1.704092012365863e-11
D631-7,1.8,30.9,1.7190713743595106e-11,28.40977472631559,1.4531569715834447e-11
D631-7,2.25,34.7,1.7343066378882025e-11,28.156995578363823,1.1419302088271041e-11
D631-7,2.69,38.8,1.813679841739045e-11,27.869512015821158,9.357415279075758e-12
D631-7,3.14,42.5,1.8642221632137032e-11,27.03890715247197,7.545674652351258e-12
D631-7,3.59,45.6,1.87708825191424e-11,26.289056658617476,6.238856709168128e-12
D631-7,4.04,48.8,1.9103270871988535e-11,25.52609057415569,5.226809858330431e-12
D631-7,4.49,51.8,1.9367012521143487e-11,24.616459940454476,4.373753564399223e-12
D631-7,4.94,54.8,1.9700789147616946e-11,23.785779364990336,3.711566772590426e-12
D631-7,5.39,56.6,1.926165287967651e-11,22.912599154177162,3.1565262435144984e-12
D631-7,5.84,58.4,1.8926151053368918e-11,22.092193191261025,2.7084091509495505e-12
D631-7,6.29,58.5,1.7632363950822076e-11,21.303694515271285,2.3383453970149247e-12
D631-7,6.74,57.7,1.6008151457377393e-11,20.562927807099843,2.033103368384464e-12
D631-7,7.19,57.3,1.4798912705054496e-11,19.850120906432785,1.7760160132392566e-12
DDO064,0.1,6.29,1.2821851590592349e-11,2.262410219213129,1.6587928795662459e-12
DDO064,0.3,13.9,2.08716988871085e-11,6.768943787622999,4.949598999166032e-12
DDO064,0.49,15.6,1.6095429551117765e-11,9.691155761827378,6.211614892737729e-12
DDO064,0.69,18.4,1.5901423716072516e-11,14.140951170271396,9.391989737476415e-12
DDO064,0.89,22.5,1.8434208039803014e-11,15.274897708331798,8.496030627885313e-12
DDO064,1.09,26.5,2.0879240884171674e-11,17.146107429967888,8.740857455744744e-12
DDO064,1.29,35.3,3.13046718250139e-11,19.671799612643476,9.721827886783728e-12
DDO064,1.48,40.5,3.591681236728106e-11,22.844255295369116,1.1427250542288852e-11
DDO064,1.68,44.2,3.7686405071656524e-11,25.09904380648793,1.2152189303940794e-11
DDO064,1.88,46.3,3.695333061752807e-11,26.6757792763398,1.2266646109328886e-11
DDO064,2.08,46.4,3.3544558558236584e-11,27.395977806970134,1.1693909576803778e-11
DDO064,2.27,46.3,3.0604520511432933e-11,27.55252801468497,1.0837934024595963e-11
DDO064,2.37,46.4,2.943995012705996e-11,27.75392224533318,1.053294565243282e-11
DDO064,2.98,46.9,2.392097494627471e-11,28.065868951450625,8.566238796130211e-12
DDO154,0.49,13.8,1.25953879179605e-11,12.865601423952167,1.0947464876686196e-11
DDO154,0.99,21.6,1.527290894468625e-11,16.350966332299752,8.751875054202122e-12
DDO154,1.48,28.9,1.8288724802485483e-11,16.907377088123397,6.259508265949424e-12
DDO154,1.97,34.3,1.935403262358146e-11,17.623677255328978,5.109475141045532e-12
DDO154,2.47,38.2,1.9146051704784854e-11,17.938375065763342,4.2220045994077094e-12
DDO154,2.96,42.0,1.9313292795575e-11,18.61036270468687,3.791992052867972e-12
DDO154,3.46,44.6,1.8631296336467314e-11,19.48889170784219,3.5575223800490516e-12
DDO154,3.95,46.3,1.7587914319228546e-11,19.522832786253126,3.1270730616577432e-12
DDO154,4.44,47.4,1.639921909349436e-11,18.93923176900267,2.6181299707718734e-12
DDO154,4.94,48.2,1.524110946884144e-11,18.278320491773854,2.191770523153664e-12
DDO154,5.43,47.4,1.340930622009484e-11,17.548244926487662,1.8378793577380774e-12
DDO154,5.92,45.5,1.1333147508514497e-11,16.8462814888034,1.5535879870080379e-12
DDO161,0.6,16.0,1.382732497049784e-11,14.318536936433135,1.1073769840288876e-11
DDO161,0.73,16.6,1.2233275906047896e-11,16.375066412079065,1.1903994972493173e-11
DDO161,0.85,18.6,1.3190352978290715e-11,17.879119105817267,1.218772830692579e-11
DDO161,0.98,20.0,1.3227670571267066e-11,19.968217246414362,1.3185662796450365e-11
DDO161,1.07,21.4,1.3870535361030644e-11,21.26249750146958,1.3692861908032833e-11
DDO161,1.54,28.9,1.7576177082908124e-11,27.1146086086449,1.547160659439928e-11
DDO161,2.02,32.9,1.7365603521020148e-11,31.18002565746218,1.5597357331800945e-11
DDO161,2.49,35.2,1.6126325989689047e-11,33.63529247680181,1.4724498925184242e-11
DDO161,2.96,37.6,1.5478662597886684e-11,34.90671138907245,1.3340607729939364e-11
DDO161,3.43,40.6,1.5574259330609842e-11,35.32418010371932,1.1789612082274807e-11
DDO161,3.9,42.7,1.51509755681845e-11,35.80341464162322,1.0652063435182772e-11
DDO161,4.37,45.5,1.535291378727822e-11,35.96655251758222,9.593247322562598e-12
DDO161,4.86,48.9,1.5945234250918275e-11,35.986336295877635,8.635519196047558e-12
DDO161,5.34,51.5,1.6096173917223884e-11,35.891951744088814,7.81812028917634e-12
DDO161,5.81,53.0,1.5668414845953274e-11,35.67475437897225,7.0989694269519625e-12
DDO161,6.28,55.0,1.5610441643519592e-11,35.70686208559918,6.579504425340366e-12
DDO161,6.75,57.6,1.592907836601351e-11,35.760271251767655,6.139701975797822e-12
DDO161,7.22,59.7,1.5997824182209242e-11,35.96768549684563,5.806804990958428e-12
DDO161,7.69,60.5,1.5425308707513222e-11,36.35770069737634,5.5707790711094785e-12
DDO161,8.16,61.8,1.5168276832583916e-11,36.796836820574676,5.377498152227097e-12
DDO161,8.64,62.9,1.4840106007630034e-11,37.021216889778216,5.14087556924851e-12
DDO161,9.11,63.0,1.4119267839575139e-11,37.29874662773536,4.9490239357469116e-12
DDO161,9.58,64.5,1.4073540752670023e-11,37.20884303495609,4.6835620515570325e-12
DDO161,10.05,65.6,1.387685568681007e-11,37.007901858927376,4.416439856402587e-12
DDO161,10.52,67.5,1.4035932167188416e-11,36.29888428037424,4.059011368313188e-12
DDO161,10.99,66.8,1.3158448570366727e-11,35.472186287287116,3.7104593283478176e-12
DDO161,11.46,66.8,1.2618791430046277e-11,34.518524012477705,3.3695295691078683e-12
DDO161,11.94,66.6,1.2039087929126373e-11,33.57783346197309,3.060204642171733e-12
DDO161,12.41,66.8,1.1652808202121704e-11,32.650298620380184,2.7838894728670415e-12
DDO161,12.9,66.3,1.1042993114020284e-11,31.86244968611171,2.550457376281149e-12
DDO161,13.37,66.1,1.0590609784209434e-11,30.952935240458213,2.322318199998734e-12
